location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP23.07,2022-08-29,Corea Hbr.,44.39319,-67.97628,2022-09-02,2022-09-08,99,1,0,0,0,0,0,0
PSP26.07,2022-08-29,Cutler Hbr.,44.65701,-67.20525,2022-09-02,2022-09-08,99,1,0,0,0,0,0,0
PSP27.46,2022-08-29,Gleason Cove,44.97084,-67.05254,2022-09-02,2022-09-08,99,1,0,0,0,0,0,0
PSP19.12,2022-08-30,IAH Town Dock,44.0737,-68.64,2022-09-03,2022-09-09,98,2,0,0,0,0,0,0
PSP19.13,2022-08-30,Duck Hbr.,44.0293,-68.65308,2022-09-03,2022-09-09,97,3,0,0,0,0,0,0
PSP19.15,2022-08-30,Stonington,44.15419,-68.65947,2022-09-03,2022-09-09,99,1,0,0,0,0,0,0
PSP21.09,2022-08-30,Bass Hbr.,44.23824,-68.34792,2022-09-03,2022-09-09,98,2,0,0,0,0,0,0
