location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP10.02,2022-08-01,Great Cove Marina,43.09612,-70.76781,2022-08-05,2022-08-11,32,37,26,5,1,2,3,9
PSP10.07,2022-08-01,York River,43.12727,-70.64426,2022-08-05,2022-08-11,21,43,31,5,1,1,2,7
PSP27.46,2022-07-31,Gleason Cove,44.97084,-67.05254,2022-08-04,2022-08-10,35,42,20,3,1,1,2,6
PSP26.15,2022-07-31,Lubec Channel,44.85891,-66.98028,2022-08-04,2022-08-10,58,31,9,2,0,1,1,2
PSP27.05,2022-07-31,Gove Pt.,44.90545,-67.05621,2022-08-04,2022-08-10,80,15,4,1,0,0,1,1
PSP10.11,2022-08-01,Ogunquit River,43.2503,-70.5954,2022-08-05,2022-08-11,67,26,6,1,0,0,0,1
PSP10.145,2022-08-01,Webhannet River,43.320514,-70.564503,2022-08-05,2022-08-11,60,30,9,1,0,0,1,2
PSP10.25,2022-08-01,Biddeford Pool,43.44652,-70.35614,2022-08-05,2022-08-11,64,28,7,1,0,0,1,2
PSP15.25,2022-07-31,Christmas Cove Town Landing,43.84476,-69.55365,2022-08-04,2022-08-10,98,2,0,0,0,0,0,0
PSP16.41,2022-07-31,Port Clyde,43.92526,-69.259,2022-08-04,2022-08-10,98,1,0,0,0,0,0,0
PSP27.24,2022-07-31,Edmunds Ramp,44.85744,-67.14813,2022-08-04,2022-08-10,94,5,1,0,0,0,0,0
PSP12.03,2022-08-01,Potts Pt.,43.73064,-70.02556,2022-08-05,2022-08-11,98,2,0,0,0,0,0,0
PSP12.13,2022-08-01,Lumbos Hole,43.79553,-69.94557,2022-08-05,2022-08-11,98,2,0,0,0,0,0,0
PSP22.1,2022-08-01,Lamoine State Park,44.45356,-68.27976,2022-08-05,2022-08-11,97,3,0,0,0,0,0,0
PSP22.21,2022-08-01,Sorrento Harbor (Waukeag),44.47156,-68.18404,2022-08-05,2022-08-11,96,4,0,0,0,0,0,0
PSP23.07,2022-08-01,Corea Hbr.,44.39319,-67.97628,2022-08-05,2022-08-11,99,1,0,0,0,0,0,0
PSP24.08,2022-08-01,Ripley Pt.,44.52198,-67.79233,2022-08-05,2022-08-11,99,1,0,0,0,0,0,0
PSP25.06,2022-08-01,Kelley Pt.,44.53205,-67.5655,2022-08-05,2022-08-11,99,1,0,0,0,0,0,0
PSP26.07,2022-08-01,Cutler Hbr.,44.65701,-67.20525,2022-08-05,2022-08-11,98,2,0,0,0,0,0,0
PSP10.33,2022-08-02,Spurwink River,43.56632,-70.27305,2022-08-06,2022-08-12,96,4,0,0,0,0,0,0
PSP12.01,2022-08-02,Basin Pt.,43.73848,-70.04343,2022-08-06,2022-08-12,98,2,0,0,0,0,0,0
PSP12.28,2022-08-02,Bear Island,43.78556,-69.87415,2022-08-06,2022-08-12,98,1,0,0,0,0,0,0
PSP12.34,2022-08-02,Head Beach,43.71711,-69.84999,2022-08-06,2022-08-12,97,3,0,0,0,0,0,0
PSP19.12,2022-08-02,IAH Town Dock,44.0737,-68.64,2022-08-06,2022-08-12,98,2,0,0,0,0,0,0
PSP19.13,2022-08-02,Duck Hbr.,44.0293,-68.65308,2022-08-06,2022-08-12,94,5,1,0,0,0,0,0
PSP19.15,2022-08-02,Stonington,44.15419,-68.65947,2022-08-06,2022-08-12,99,1,0,0,0,0,0,0
PSP21.09,2022-08-03,Bass Hbr.,44.23824,-68.34792,2022-08-07,2022-08-13,91,8,1,0,0,0,0,0
PSP22.01,2022-08-03,Bar Hbr. Bar,44.39342,-68.20833,2022-08-07,2022-08-13,95,4,0,0,0,0,0,0
PSP22.03,2022-08-03,Salisbury Cove,44.43248,-68.28517,2022-08-07,2022-08-13,98,1,0,0,0,0,0,0
