location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP12.28,2022-05-10,Bear Island,43.78556,-69.87415,2022-05-14,2022-05-20,0,2,17,81,3,5,73,88
PSP12.13,2022-05-09,Lumbos Hole,43.79553,-69.94557,2022-05-13,2022-05-19,0,4,21,75,3,7,62,83
PSP13.03,2022-05-11,Pinkham Pt.,43.79416,-69.9289,2022-05-15,2022-05-21,4,11,33,52,3,8,39,63
PSP12.11,2022-05-09,Ewin Narrows,43.81755,-69.95353,2022-05-13,2022-05-19,12,16,34,38,3,9,26,50
PSP12.15,2022-05-11,Gurnet,43.85809,-69.91333,2022-05-15,2022-05-21,11,17,34,37,3,7,28,46
PSP11.117,2022-05-09,CAS CF3,43.7119,-70.18787,2022-05-13,2022-05-19,19,20,33,29,2,7,17,41
PSP11.115,2022-05-09,CAS BASK,43.73316,-70.16358,2022-05-13,2022-05-19,26,20,30,24,2,6,15,33
PSP10.33,2022-05-10,Spurwink River,43.56632,-70.27305,2022-05-14,2022-05-20,21,38,28,13,1,3,7,16
PSP12.243,2022-05-11,Dingley Starboard,43.81194,-69.88472,2022-05-15,2022-05-21,48,32,14,6,0,2,3,9
PSP12.003,2022-05-09,Mitchell Field,43.778,-70.0167,2022-05-13,2022-05-19,55,29,11,5,0,1,3,6
PSP12.06,2022-05-09,Wills Gut,43.74995,-69.9883,2022-05-13,2022-05-19,55,28,12,5,0,1,4,6
PSP10.11,2022-05-10,Ogunquit River,43.2503,-70.5954,2022-05-14,2022-05-20,51,31,13,5,0,1,3,8
PSP12.01,2022-05-09,Basin Pt.,43.73848,-70.04343,2022-05-13,2022-05-19,59,28,10,4,0,1,3,5
PSP12.03,2022-05-09,Potts Pt.,43.73064,-70.02556,2022-05-13,2022-05-19,90,7,2,1,0,0,0,1
PSP12.13b,2022-05-11,Long Reach (Brun),43.85228,-69.92467,2022-05-15,2022-05-21,82,14,3,1,0,0,1,1
PSP15.25,2022-05-09,Christmas Cove Town Landing,43.84476,-69.55365,2022-05-13,2022-05-19,97,3,0,0,0,0,0,0
PSP16.41,2022-05-09,Port Clyde,43.92526,-69.259,2022-05-13,2022-05-19,96,4,0,0,0,0,0,0
PSP12.34,2022-05-10,Head Beach,43.71711,-69.84999,2022-05-14,2022-05-20,97,3,0,0,0,0,0,0
