location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP21.09,2022-08-15,Bass Hbr.,44.23824,-68.34792,2022-08-19,2022-08-25,99,1,0,0,0,0,0,0
PSP22.01,2022-08-15,Bar Hbr. Bar,44.39342,-68.20833,2022-08-19,2022-08-25,99,1,0,0,0,0,0,0
PSP22.03,2022-08-15,Salisbury Cove,44.43248,-68.28517,2022-08-19,2022-08-25,99,1,0,0,0,0,0,0
PSP22.21,2022-08-15,Sorrento Harbor (Waukeag),44.47156,-68.18404,2022-08-19,2022-08-25,99,1,0,0,0,0,0,0
PSP23.07,2022-08-15,Corea Hbr.,44.39319,-67.97628,2022-08-19,2022-08-25,99,1,0,0,0,0,0,0
PSP19.15,2022-08-16,Stonington,44.15419,-68.65947,2022-08-20,2022-08-26,98,2,0,0,0,0,0,0
PSP24.08,2022-08-16,Ripley Pt.,44.52198,-67.79233,2022-08-20,2022-08-26,99,1,0,0,0,0,0,0
PSP25.06,2022-08-16,Kelley Pt.,44.53205,-67.5655,2022-08-20,2022-08-26,99,1,0,0,0,0,0,0
PSP26.07,2022-08-17,Cutler Hbr.,44.65701,-67.20525,2022-08-21,2022-08-27,98,2,0,0,0,0,0,0
PSP26.15,2022-08-17,Lubec Channel,44.85891,-66.98028,2022-08-21,2022-08-27,97,3,0,0,0,0,0,0
PSP27.05,2022-08-17,Gove Pt.,44.90545,-67.05621,2022-08-21,2022-08-27,97,3,0,0,0,0,0,0
PSP27.46,2022-08-17,Gleason Cove,44.97084,-67.05254,2022-08-21,2022-08-27,93,6,0,0,0,0,0,0
