location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP14.2,2022-06-06,Pratts Island,43.81457,-69.6815,2022-06-10,2022-06-16,65,23,9,3,0,1,2,4
PSP10.02,2022-06-06,Great Cove Marina,43.09612,-70.76781,2022-06-10,2022-06-16,68,22,8,2,0,1,2,4
PSP11.115,2022-06-06,CAS BASK,43.73316,-70.16358,2022-06-10,2022-06-16,68,23,7,2,0,1,0,4
PSP12.3,2022-06-06,Sebasco,43.7637,-69.8616,2022-06-10,2022-06-16,74,17,7,2,0,1,1,4
PSP12.003,2022-06-05,Mitchell Field,43.778,-70.0167,2022-06-09,2022-06-15,76,18,4,1,0,1,0,2
PSP12.01,2022-06-05,Basin Pt.,43.73848,-70.04343,2022-06-09,2022-06-15,82,13,4,1,0,0,1,2
PSP12.03,2022-06-05,Potts Pt.,43.73064,-70.02556,2022-06-09,2022-06-15,87,9,3,1,0,0,0,1
PSP26.15,2022-06-05,Lubec Channel,44.85891,-66.98028,2022-06-09,2022-06-15,86,10,3,1,0,0,0,1
PSP27.05,2022-06-05,Gove Pt.,44.90545,-67.05621,2022-06-09,2022-06-15,84,11,4,1,0,0,0,1
PSP16.41,2022-06-06,Port Clyde,43.92526,-69.259,2022-06-10,2022-06-16,90,8,2,1,0,0,0,1
PSP19.15,2022-06-06,Stonington,44.15419,-68.65947,2022-06-10,2022-06-16,89,8,2,1,0,0,0,1
PSP21.09,2022-06-06,Bass Hbr.,44.23824,-68.34792,2022-06-10,2022-06-16,87,9,3,1,0,1,0,2
PSP26.07,2022-06-05,Cutler Hbr.,44.65701,-67.20525,2022-06-09,2022-06-15,99,1,0,0,0,0,0,0
PSP10.25,2022-06-06,Biddeford Pool,43.44652,-70.35614,2022-06-10,2022-06-16,89,8,2,0,0,0,0,1
PSP11.1,2022-06-06,Littlejohns Bridge,43.75511,-70.1354,2022-06-10,2022-06-16,89,9,2,0,0,0,0,1
PSP11.17,2022-06-06,Flying Pt,43.8097,-70.06895,2022-06-10,2022-06-16,92,6,1,0,0,0,0,0
PSP12.21,2022-06-06,Fort St. George,43.75373,-69.78983,2022-06-10,2022-06-16,97,3,0,0,0,0,0,0
PSP14.17,2022-06-06,Sawyer Is.,43.86782,-69.67739,2022-06-10,2022-06-16,98,2,0,0,0,0,0,0
PSP14.21,2022-06-06,Newagen,43.78639,-69.65778,2022-06-10,2022-06-16,97,3,0,0,0,0,0,0
PSP14.35,2022-06-06,Ocean Point,43.8138,-69.59961,2022-06-10,2022-06-16,97,3,0,0,0,0,0,0
PSP16.4,2022-06-06,Howard Pt.,43.94755,-69.27711,2022-06-10,2022-06-16,97,3,0,0,0,0,0,0
PSP17.06,2022-06-06,Sprucehead,44.00593,-69.12441,2022-06-10,2022-06-16,96,4,0,0,0,0,0,0
PSP17.20,2022-06-06,Maker Cove,44.04172,-69.11185,2022-06-10,2022-06-16,95,4,0,0,0,0,0,0
PSP19.24,2022-06-06,Stinson Neck Causeway N.,44.21074,-68.59489,2022-06-10,2022-06-16,96,4,0,0,0,0,0,0
PSP14.01,2022-06-07,Bay Pt.,43.75479,-69.77623,2022-06-11,2022-06-17,92,7,1,0,0,0,0,0
PSP14.02,2022-06-07,Indian Pt.,43.75329,-69.75399,2022-06-11,2022-06-17,93,6,1,0,0,0,0,0
PSP14.05,2022-06-07,Griffith Head,43.784,-69.722,2022-06-11,2022-06-17,96,3,0,0,0,0,0,0
PSP14.08,2022-06-07,Five Islands,43.824,-69.709,2022-06-11,2022-06-17,99,1,0,0,0,0,0,0
PSP15.2,2022-06-07,Graveyard Pt.,43.8782,-69.52402,2022-06-11,2022-06-17,96,4,0,0,0,0,0,0
PSP15.24,2022-06-07,Round Pond,43.94133,-69.45337,2022-06-11,2022-06-17,99,1,0,0,0,0,0,0
PSP15.25,2022-06-07,Christmas Cove Town Landing,43.84476,-69.55365,2022-06-11,2022-06-17,96,4,0,0,0,0,0,0
PSP16.12,2022-06-07,Timber Pt.,44.00908,-69.35513,2022-06-11,2022-06-17,99,1,0,0,0,0,0,0
PSP16.25,2022-06-07,Garrison Is. Bar,43.96986,-69.32865,2022-06-11,2022-06-17,99,1,0,0,0,0,0,0
PSP16.32,2022-06-07,Stones Pt.,43.97,-69.27691,2022-06-11,2022-06-17,99,1,0,0,0,0,0,0
PSP16.321,2022-06-07,Pleasant Pt. Gut,43.95382,-69.30748,2022-06-11,2022-06-17,97,3,0,0,0,0,0,0
PSP24.08,2022-06-07,Ripley Pt.,44.52198,-67.79233,2022-06-11,2022-06-17,99,1,0,0,0,0,0,0
PSP25.06,2022-06-07,Kelley Pt.,44.53205,-67.5655,2022-06-11,2022-06-17,99,1,0,0,0,0,0,0
PSP25.13,2022-06-07,Shoppee Pt.,44.61523,-67.49666,2022-06-11,2022-06-17,99,1,0,0,0,0,0,0
PSP17.14,2022-06-08,Kidder Point,44.461389,-68.8825,2022-06-12,2022-06-18,99,1,0,0,0,0,0,0
PSP23.07,2022-06-08,Corea Hbr.,44.39319,-67.97628,2022-06-12,2022-06-18,99,1,0,0,0,0,0,0
