location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP12.243,2022-06-05,Dingley Starboard,43.81194,-69.88472,2022-06-09,2022-06-15,5,26,39,30,2,7,20,38
PSP19.38,2022-06-06,Burntcoat Hbr.,44.14834,-68.44768,2022-06-10,2022-06-16,12,17,44,27,2,4,22,32
PSP10.2,2022-06-06,Cape Porpoise,43.36592,-70.43032,2022-06-10,2022-06-16,13,27,37,24,2,3,19,29
PSP10.07,2022-06-06,York River,43.12727,-70.64426,2022-06-10,2022-06-16,16,21,40,23,2,5,15,30
PSP10.145,2022-06-06,Webhannet River,43.320514,-70.564503,2022-06-10,2022-06-16,13,25,39,23,2,3,17,26
PSP11.117,2022-06-06,CAS CF3,43.7119,-70.18787,2022-06-10,2022-06-16,14,31,33,22,2,15,6,60
PSP10.11,2022-06-06,Ogunquit River,43.2503,-70.5954,2022-06-10,2022-06-16,14,28,37,21,2,3,15,27
PSP10.33,2022-06-06,Spurwink River,43.56632,-70.27305,2022-06-10,2022-06-16,11,35,41,13,2,4,9,20
PSP12.13,2022-06-05,Lumbos Hole,43.79553,-69.94557,2022-06-09,2022-06-15,4,38,49,9,2,4,5,17
PSP13.03,2022-06-05,Pinkham Pt.,43.79416,-69.9289,2022-06-09,2022-06-15,16,41,34,9,1,3,5,14
PSP10.29,2022-06-06,Pine Point,43.54459,-70.33231,2022-06-10,2022-06-16,33,35,24,8,1,2,5,14
PSP11.111,2022-06-06,CAS LON,43.708,-70.159,2022-06-10,2022-06-16,28,39,24,8,1,5,2,15
PSP12.06,2022-06-05,Wills Gut,43.74995,-69.9883,2022-06-09,2022-06-15,28,42,23,7,1,3,4,12
PSP27.46,2022-06-05,Gleason Cove,44.97084,-67.05254,2022-06-09,2022-06-15,30,41,21,7,1,2,4,10
PSP12.002,2022-06-06,Sabino,43.857,-69.868,2022-06-10,2022-06-16,35,40,19,7,1,5,3,16
PSP12.13b,2022-06-05,Long Reach (Brun),43.85228,-69.92467,2022-06-09,2022-06-15,22,49,24,6,1,2,3,10
PSP12.34,2022-06-06,Head Beach,43.71711,-69.84999,2022-06-10,2022-06-16,57,27,12,4,0,1,3,6
PSP12.11,2022-06-05,Ewin Narrows,43.81755,-69.95353,2022-06-09,2022-06-15,35,46,16,3,1,1,2,6
PSP12.15,2022-06-05,Gurnet,43.85809,-69.91333,2022-06-09,2022-06-15,12,65,20,3,1,2,1,6
