location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP12.13,2022-05-22,Lumbos Hole,43.79553,-69.94557,2022-05-26,2022-06-01,0,0,8,92,3,3,87,96
PSP12.28,2022-05-23,Bear Island,43.78556,-69.87415,2022-05-27,2022-06-02,0,1,17,83,3,3,80,89
PSP12.15,2022-05-23,Gurnet,43.85809,-69.91333,2022-05-27,2022-06-02,0,2,24,74,3,4,68,83
PSP12.06,2022-05-23,Wills Gut,43.74995,-69.9883,2022-05-27,2022-06-02,0,6,31,63,3,6,53,70
PSP12.11,2022-05-22,Ewin Narrows,43.81755,-69.95353,2022-05-26,2022-06-01,0,6,34,60,3,5,54,70
PSP13.03,2022-05-23,Pinkham Pt.,43.79416,-69.9289,2022-05-27,2022-06-02,1,11,36,53,3,11,30,66
PSP10.33,2022-05-24,Spurwink River,43.56632,-70.27305,2022-05-28,2022-06-03,3,12,37,49,3,7,40,63
PSP11.117,2022-05-25,CAS CF3,43.7119,-70.18787,2022-05-29,2022-06-04,1,15,44,40,2,5,34,52
PSP10.29,2022-05-24,Pine Point,43.54459,-70.33231,2022-05-28,2022-06-03,7,17,38,38,2,8,26,53
PSP12.002,2022-05-23,Sabino,43.857,-69.868,2022-05-27,2022-06-02,12,27,34,27,2,7,16,37
PSP12.243,2022-05-23,Dingley Starboard,43.81194,-69.88472,2022-05-27,2022-06-02,27,29,27,17,1,4,8,23
PSP10.11,2022-05-24,Ogunquit River,43.2503,-70.5954,2022-05-28,2022-06-03,9,35,39,17,2,4,12,22
PSP10.07,2022-05-24,York River,43.12727,-70.64426,2022-05-28,2022-06-03,15,35,35,15,1,4,9,20
PSP10.2,2022-05-24,Cape Porpoise,43.36592,-70.43032,2022-05-28,2022-06-03,27,32,27,14,1,2,12,18
PSP10.145,2022-05-24,Webhannet River,43.320514,-70.564503,2022-05-28,2022-06-03,30,33,25,12,1,2,9,16
PSP27.46,2022-05-24,Gleason Cove,44.97084,-67.05254,2022-05-28,2022-06-03,36,33,21,10,0,2,6,13
PSP12.13b,2022-05-23,Long Reach (Brun),43.85228,-69.92467,2022-05-27,2022-06-02,46,30,17,7,0,1,5,9
PSP11.115,2022-05-25,CAS BASK,43.73316,-70.16358,2022-05-29,2022-06-04,54,28,13,6,0,4,1,14
PSP12.01,2022-05-22,Basin Pt.,43.73848,-70.04343,2022-05-26,2022-06-01,50,29,16,5,0,2,3,8
PSP10.02,2022-05-24,Great Cove Marina,43.09612,-70.76781,2022-05-28,2022-06-03,72,17,8,2,0,1,2,4
PSP10.25,2022-05-24,Biddeford Pool,43.44652,-70.35614,2022-05-28,2022-06-03,79,13,6,2,0,1,1,3
PSP11.1,2022-05-24,Littlejohns Bridge,43.75511,-70.1354,2022-05-28,2022-06-03,76,16,6,2,0,0,1,2
PSP12.003,2022-05-22,Mitchell Field,43.778,-70.0167,2022-05-26,2022-06-01,82,11,5,1,0,0,1,2
PSP12.03,2022-05-23,Potts Pt.,43.73064,-70.02556,2022-05-27,2022-06-02,84,12,3,1,0,0,0,1
PSP12.3,2022-05-23,Sebasco,43.7637,-69.8616,2022-05-27,2022-06-02,76,18,4,1,0,0,0,2
PSP26.15,2022-05-24,Lubec Channel,44.85891,-66.98028,2022-05-28,2022-06-03,86,11,2,1,0,0,0,1
PSP12.21,2022-05-23,Fort St. George,43.75373,-69.78983,2022-05-27,2022-06-02,99,1,0,0,0,0,0,0
PSP12.34,2022-05-23,Head Beach,43.71711,-69.84999,2022-05-27,2022-06-02,92,6,1,0,0,0,0,0
PSP19.15,2022-05-23,Stonington,44.15419,-68.65947,2022-05-27,2022-06-02,97,3,0,0,0,0,0,0
PSP19.24,2022-05-23,Stinson Neck Causeway N.,44.21074,-68.59489,2022-05-27,2022-06-02,99,1,0,0,0,0,0,0
PSP21.09,2022-05-23,Bass Hbr.,44.23824,-68.34792,2022-05-27,2022-06-02,96,4,0,0,0,0,0,0
PSP11.17,2022-05-24,Flying Pt,43.8097,-70.06895,2022-05-28,2022-06-03,94,5,1,0,0,0,0,0
PSP26.07,2022-05-24,Cutler Hbr.,44.65701,-67.20525,2022-05-28,2022-06-03,99,1,0,0,0,0,0,0
PSP27.05,2022-05-24,Gove Pt.,44.90545,-67.05621,2022-05-28,2022-06-03,94,6,1,0,0,0,0,0
PSP15.25,2022-05-25,Christmas Cove Town Landing,43.84476,-69.55365,2022-05-29,2022-06-04,92,6,2,0,0,0,0,1
PSP16.41,2022-05-25,Port Clyde,43.92526,-69.259,2022-05-29,2022-06-04,94,5,1,0,0,0,0,0
PSP23.07,2022-05-25,Corea Hbr.,44.39319,-67.97628,2022-05-29,2022-06-04,99,1,0,0,0,0,0,0
PSP24.08,2022-05-25,Ripley Pt.,44.52198,-67.79233,2022-05-29,2022-06-04,99,1,0,0,0,0,0,0
PSP25.06,2022-05-25,Kelley Pt.,44.53205,-67.5655,2022-05-29,2022-06-04,98,2,0,0,0,0,0,0
