location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP10.2,2022-06-27,Cape Porpoise,43.36592,-70.43032,2022-07-01,2022-07-07,0,1,19,80,3,5,73,89
PSP10.11,2022-06-27,Ogunquit River,43.2503,-70.5954,2022-07-01,2022-07-07,0,2,25,72,3,5,64,83
PSP10.145,2022-06-27,Webhannet River,43.320514,-70.564503,2022-07-01,2022-07-07,0,2,26,71,3,3,66,76
PSP10.07,2022-06-27,York River,43.12727,-70.64426,2022-07-01,2022-07-07,1,4,34,62,3,6,55,70
PSP10.25,2022-06-27,Biddeford Pool,43.44652,-70.35614,2022-07-01,2022-07-07,4,11,35,50,3,6,43,63
PSP10.02,2022-06-27,Great Cove Marina,43.09612,-70.76781,2022-07-01,2022-07-07,3,17,42,39,2,7,28,50
PSP21.09,2022-06-27,Bass Hbr.,44.23824,-68.34792,2022-07-01,2022-07-07,23,38,26,13,1,4,8,22
PSP10.29,2022-06-26,Pine Point,43.54459,-70.33231,2022-06-30,2022-07-06,13,42,36,9,1,2,6,14
PSP10.33,2022-06-26,Spurwink River,43.56632,-70.27305,2022-06-30,2022-07-06,18,41,32,9,1,2,5,12
PSP26.15,2022-06-26,Lubec Channel,44.85891,-66.98028,2022-06-30,2022-07-06,29,36,26,9,1,3,5,15
PSP19.13,2022-06-28,Duck Hbr.,44.0293,-68.65308,2022-07-02,2022-07-08,36,38,19,7,1,3,4,12
PSP12.06,2022-06-26,Wills Gut,43.74995,-69.9883,2022-06-30,2022-07-06,31,44,19,6,1,2,2,9
PSP12.13,2022-06-26,Lumbos Hole,43.79553,-69.94557,2022-06-30,2022-07-06,27,52,16,4,1,1,2,6
PSP11.111,2022-06-29,CAS LON,43.708,-70.159,2022-07-03,2022-07-09,34,45,18,3,1,1,2,6
PSP27.46,2022-06-29,Gleason Cove,44.97084,-67.05254,2022-07-03,2022-07-09,56,29,12,3,0,1,2,4
PSP27.05,2022-06-26,Gove Pt.,44.90545,-67.05621,2022-06-30,2022-07-06,67,22,8,2,0,1,1,3
PSP11.117,2022-06-29,CAS CF3,43.7119,-70.18787,2022-07-03,2022-07-09,29,49,20,2,1,1,1,4
PSP12.01,2022-06-26,Basin Pt.,43.73848,-70.04343,2022-06-30,2022-07-06,75,21,4,1,0,0,0,1
PSP12.03,2022-06-26,Potts Pt.,43.73064,-70.02556,2022-06-30,2022-07-06,70,22,7,1,0,1,0,2
PSP19.12,2022-06-28,IAH Town Dock,44.0737,-68.64,2022-07-02,2022-07-08,84,12,4,1,0,0,0,1
PSP11.115,2022-06-29,CAS BASK,43.73316,-70.16358,2022-07-03,2022-07-09,52,40,7,1,0,0,0,2
PSP11.1,2022-06-26,Littlejohns Bridge,43.75511,-70.1354,2022-06-30,2022-07-06,97,3,0,0,0,0,0,0
PSP11.17,2022-06-26,Flying Pt,43.8097,-70.06895,2022-06-30,2022-07-06,98,2,0,0,0,0,0,0
PSP12.11,2022-06-26,Ewin Narrows,43.81755,-69.95353,2022-06-30,2022-07-06,78,18,4,0,0,0,0,1
PSP26.07,2022-06-26,Cutler Hbr.,44.65701,-67.20525,2022-06-30,2022-07-06,97,3,0,0,0,0,0,0
PSP27.24,2022-06-26,Edmunds Ramp,44.85744,-67.14813,2022-06-30,2022-07-06,85,12,2,0,0,0,0,1
PSP12.13b,2022-06-27,Long Reach (Brun),43.85228,-69.92467,2022-07-01,2022-07-07,91,9,1,0,0,0,0,0
PSP12.15,2022-06-27,Gurnet,43.85809,-69.91333,2022-07-01,2022-07-07,89,10,1,0,0,0,0,0
PSP12.243,2022-06-27,Dingley Starboard,43.81194,-69.88472,2022-07-01,2022-07-07,95,4,0,0,0,0,0,0
PSP13.03,2022-06-27,Pinkham Pt.,43.79416,-69.9289,2022-07-01,2022-07-07,88,11,1,0,0,0,0,0
