location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP12.28,2022-05-16,Bear Island,43.78556,-69.87415,2022-05-20,2022-05-26,0,2,25,73,3,5,62,79
PSP12.13,2022-05-16,Lumbos Hole,43.79553,-69.94557,2022-05-20,2022-05-26,1,7,38,54,3,4,48,59
PSP12.15,2022-05-16,Gurnet,43.85809,-69.91333,2022-05-20,2022-05-26,1,8,38,53,3,5,47,63
PSP12.11,2022-05-16,Ewin Narrows,43.81755,-69.95353,2022-05-20,2022-05-26,2,10,40,48,3,3,44,56
PSP10.11,2022-05-17,Ogunquit River,43.2503,-70.5954,2022-05-21,2022-05-27,6,18,35,41,3,3,35,45
PSP13.03,2022-05-16,Pinkham Pt.,43.79416,-69.9289,2022-05-20,2022-05-26,11,18,37,34,2,4,28,42
PSP12.3,2022-05-16,Sebasco,43.7637,-69.8616,2022-05-20,2022-05-26,21,34,28,17,1,7,8,30
PSP12.002,2022-05-16,Sabino,43.857,-69.868,2022-05-20,2022-05-26,26,36,23,15,1,9,0,28
PSP10.33,2022-05-17,Spurwink River,43.56632,-70.27305,2022-05-21,2022-05-27,28,36,25,11,1,2,6,14
PSP12.01,2022-05-16,Basin Pt.,43.73848,-70.04343,2022-05-20,2022-05-26,43,34,17,6,0,2,3,8
PSP12.06,2022-05-16,Wills Gut,43.74995,-69.9883,2022-05-20,2022-05-26,39,39,17,5,0,2,2,7
PSP15.25,2022-05-15,Christmas Cove Town Landing,43.84476,-69.55365,2022-05-19,2022-05-25,78,16,6,1,0,0,1,2
PSP27.46,2022-05-15,Gleason Cove,44.97084,-67.05254,2022-05-19,2022-05-25,84,11,4,1,0,1,0,2
PSP12.003,2022-05-16,Mitchell Field,43.778,-70.0167,2022-05-20,2022-05-26,84,11,4,1,0,0,1,2
PSP12.243,2022-05-16,Dingley Starboard,43.81194,-69.88472,2022-05-20,2022-05-26,84,10,4,1,0,0,1,2
PSP16.41,2022-05-15,Port Clyde,43.92526,-69.259,2022-05-19,2022-05-25,94,5,1,0,0,0,0,0
PSP26.07,2022-05-15,Cutler Hbr.,44.65701,-67.20525,2022-05-19,2022-05-25,99,1,0,0,0,0,0,0
PSP26.15,2022-05-15,Lubec Channel,44.85891,-66.98028,2022-05-19,2022-05-25,96,3,0,0,0,0,0,0
PSP27.05,2022-05-15,Gove Pt.,44.90545,-67.05621,2022-05-19,2022-05-25,96,4,0,0,0,0,0,0
PSP12.03,2022-05-16,Potts Pt.,43.73064,-70.02556,2022-05-20,2022-05-26,88,9,2,0,0,0,0,2
PSP12.13b,2022-05-16,Long Reach (Brun),43.85228,-69.92467,2022-05-20,2022-05-26,92,6,2,0,0,0,0,0
PSP12.21,2022-05-16,Fort St. George,43.75373,-69.78983,2022-05-20,2022-05-26,98,2,0,0,0,0,0,0
PSP12.34,2022-05-16,Head Beach,43.71711,-69.84999,2022-05-20,2022-05-26,92,6,1,0,0,0,0,1
PSP19.15,2022-05-16,Stonington,44.15419,-68.65947,2022-05-20,2022-05-26,98,2,0,0,0,0,0,0
PSP21.09,2022-05-16,Bass Hbr.,44.23824,-68.34792,2022-05-20,2022-05-26,94,5,1,0,0,0,0,0
PSP23.07,2022-05-17,Corea Hbr.,44.39319,-67.97628,2022-05-21,2022-05-27,99,1,0,0,0,0,0,0
PSP24.08,2022-05-17,Ripley Pt.,44.52198,-67.79233,2022-05-21,2022-05-27,99,1,0,0,0,0,0,0
PSP25.06,2022-05-17,Kelley Pt.,44.53205,-67.5655,2022-05-21,2022-05-27,97,3,0,0,0,0,0,0
