location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP10.07,2022-07-05,York River,43.12727,-70.64426,2022-07-09,2022-07-15,0,3,31,66,3,7,52,75
PSP10.11,2022-07-05,Ogunquit River,43.2503,-70.5954,2022-07-09,2022-07-15,1,12,45,42,2,9,29,55
PSP27.46,2022-07-03,Gleason Cove,44.97084,-67.05254,2022-07-07,2022-07-13,14,24,37,25,2,3,20,31
PSP10.2,2022-07-05,Cape Porpoise,43.36592,-70.43032,2022-07-09,2022-07-15,2,28,52,19,2,5,10,28
PSP19.13,2022-07-05,Duck Hbr.,44.0293,-68.65308,2022-07-09,2022-07-15,23,39,27,11,1,4,6,18
PSP10.145,2022-07-05,Webhannet River,43.320514,-70.564503,2022-07-09,2022-07-15,6,40,45,9,2,3,6,16
PSP10.02,2022-07-05,Great Cove Marina,43.09612,-70.76781,2022-07-09,2022-07-15,18,41,33,8,1,2,4,11
PSP10.33,2022-07-03,Spurwink River,43.56632,-70.27305,2022-07-07,2022-07-13,22,47,25,6,1,2,4,10
PSP11.17,2022-07-03,Flying Pt,43.8097,-70.06895,2022-07-07,2022-07-13,40,35,19,6,0,2,4,11
PSP26.15,2022-07-04,Lubec Channel,44.85891,-66.98028,2022-07-08,2022-07-14,45,31,18,6,0,1,4,8
PSP10.25,2022-07-05,Biddeford Pool,43.44652,-70.35614,2022-07-09,2022-07-15,24,42,28,6,1,2,3,9
PSP12.13,2022-07-03,Lumbos Hole,43.79553,-69.94557,2022-07-07,2022-07-13,39,44,14,3,1,1,2,4
PSP12.11,2022-07-03,Ewin Narrows,43.81755,-69.95353,2022-07-07,2022-07-13,60,30,8,2,0,0,1,2
PSP12.06,2022-07-05,Wills Gut,43.74995,-69.9883,2022-07-09,2022-07-15,59,32,8,2,0,1,1,2
PSP21.09,2022-07-06,Bass Hbr.,44.23824,-68.34792,2022-07-10,2022-07-16,56,33,9,2,0,1,1,3
PSP27.4,2022-07-03,Birch Pt. Perry,44.91796,-67.07182,2022-07-07,2022-07-13,85,11,3,1,0,0,1,1
PSP11.110,2022-07-04,CAS BA2 Bangs island,43.728,-70.095,2022-07-08,2022-07-14,65,30,5,1,0,0,0,1
PSP11.111,2022-07-04,CAS LON,43.708,-70.159,2022-07-08,2022-07-14,53,39,7,1,0,0,0,2
PSP11.115,2022-07-04,CAS BASK,43.73316,-70.16358,2022-07-08,2022-07-14,67,27,5,1,0,0,0,1
PSP11.117,2022-07-04,CAS CF3,43.7119,-70.18787,2022-07-08,2022-07-14,69,27,4,1,0,0,0,1
PSP27.05,2022-07-04,Gove Pt.,44.90545,-67.05621,2022-07-08,2022-07-14,77,17,5,1,0,0,1,2
PSP14.01,2022-07-05,Bay Pt.,43.75479,-69.77623,2022-07-09,2022-07-15,82,14,3,1,0,0,1,1
PSP19.12,2022-07-05,IAH Town Dock,44.0737,-68.64,2022-07-09,2022-07-15,84,12,3,1,0,0,1,1
PSP22.01,2022-07-06,Bar Hbr. Bar,44.39342,-68.20833,2022-07-10,2022-07-16,85,12,3,1,0,0,0,1
PSP10.29,2022-07-03,Pine Point,43.54459,-70.33231,2022-07-07,2022-07-13,90,9,1,0,0,0,0,0
PSP11.1,2022-07-03,Littlejohns Bridge,43.75511,-70.1354,2022-07-07,2022-07-13,97,3,0,0,0,0,0,0
PSP12.002,2022-07-03,Sabino,43.857,-69.868,2022-07-07,2022-07-13,97,2,0,0,0,0,0,0
PSP12.004,2022-07-03,Lookout Pt.,43.80816,-69.99323,2022-07-07,2022-07-13,98,2,0,0,0,0,0,0
PSP12.01,2022-07-03,Basin Pt.,43.73848,-70.04343,2022-07-07,2022-07-13,89,9,1,0,0,0,0,0
PSP12.03,2022-07-03,Potts Pt.,43.73064,-70.02556,2022-07-07,2022-07-13,86,12,2,0,0,0,0,0
PSP12.15,2022-07-03,Gurnet,43.85809,-69.91333,2022-07-07,2022-07-13,83,15,1,0,0,0,0,0
PSP12.21,2022-07-03,Fort St. George,43.75373,-69.78983,2022-07-07,2022-07-13,95,4,0,0,0,0,0,0
PSP12.28,2022-07-03,Bear Island,43.78556,-69.87415,2022-07-07,2022-07-13,79,19,2,0,0,0,0,1
PSP12.3,2022-07-03,Sebasco,43.7637,-69.8616,2022-07-07,2022-07-13,96,4,0,0,0,0,0,0
PSP12.34,2022-07-03,Head Beach,43.71711,-69.84999,2022-07-07,2022-07-13,93,7,0,0,0,0,0,0
PSP27.24,2022-07-03,Edmunds Ramp,44.85744,-67.14813,2022-07-07,2022-07-13,98,2,0,0,0,0,0,0
PSP26.07,2022-07-04,Cutler Hbr.,44.65701,-67.20525,2022-07-08,2022-07-14,97,3,0,0,0,0,0,0
PSP10.011,2022-07-05,Spinney Creek,43.10266,-70.7727,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP12.13b,2022-07-05,Long Reach (Brun),43.85228,-69.92467,2022-07-09,2022-07-15,97,3,0,0,0,0,0,0
PSP12.243,2022-07-05,Dingley Starboard,43.81194,-69.88472,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP13.03,2022-07-05,Pinkham Pt.,43.79416,-69.9289,2022-07-09,2022-07-15,95,5,0,0,0,0,0,0
PSP14.02,2022-07-05,Indian Pt.,43.75329,-69.75399,2022-07-09,2022-07-15,97,3,0,0,0,0,0,0
PSP14.05,2022-07-05,Griffith Head,43.784,-69.722,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP14.08,2022-07-05,Five Islands,43.824,-69.709,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP16.4,2022-07-05,Howard Pt.,43.94755,-69.27711,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP16.41,2022-07-05,Port Clyde,43.92526,-69.259,2022-07-09,2022-07-15,97,3,0,0,0,0,0,0
PSP17.06,2022-07-05,Sprucehead,44.00593,-69.12441,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP19.38,2022-07-05,Burntcoat Hbr.,44.14834,-68.44768,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP19.39,2022-07-05,Back Cove,44.16649,-68.43606,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP23.07,2022-07-05,Corea Hbr.,44.39319,-67.97628,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP24.08,2022-07-05,Ripley Pt.,44.52198,-67.79233,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP25.06,2022-07-05,Kelley Pt.,44.53205,-67.5655,2022-07-09,2022-07-15,98,2,0,0,0,0,0,0
PSP14.17,2022-07-06,Sawyer Is.,43.86782,-69.67739,2022-07-10,2022-07-16,98,2,0,0,0,0,0,0
PSP14.2,2022-07-06,Pratts Island,43.81457,-69.6815,2022-07-10,2022-07-16,95,5,0,0,0,0,0,0
PSP14.21,2022-07-06,Newagen,43.78639,-69.65778,2022-07-10,2022-07-16,98,2,0,0,0,0,0,0
PSP14.35,2022-07-06,Ocean Point,43.8138,-69.59961,2022-07-10,2022-07-16,96,4,0,0,0,0,0,0
PSP15.2,2022-07-06,Graveyard Pt.,43.8782,-69.52402,2022-07-10,2022-07-16,93,6,0,0,0,0,0,0
PSP15.24,2022-07-06,Round Pond,43.94133,-69.45337,2022-07-10,2022-07-16,97,3,0,0,0,0,0,0
PSP15.25,2022-07-06,Christmas Cove Town Landing,43.84476,-69.55365,2022-07-10,2022-07-16,92,7,1,0,0,0,0,0
PSP16.12,2022-07-06,Timber Pt.,44.00908,-69.35513,2022-07-10,2022-07-16,97,3,0,0,0,0,0,0
PSP16.25,2022-07-06,Garrison Is. Bar,43.96986,-69.32865,2022-07-10,2022-07-16,97,3,0,0,0,0,0,0
