location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP10.07,2022-06-13,York River,43.12727,-70.64426,2022-06-17,2022-06-23,0,2,22,75,3,3,72,82
PSP10.33,2022-06-14,Spurwink River,43.56632,-70.27305,2022-06-18,2022-06-24,0,3,25,72,3,4,65,82
PSP10.11,2022-06-13,Ogunquit River,43.2503,-70.5954,2022-06-17,2022-06-23,1,6,32,61,3,4,56,69
PSP11.117,2022-06-13,CAS CF3,43.7119,-70.18787,2022-06-17,2022-06-23,8,19,39,34,2,6,24,45
PSP11.111,2022-06-13,CAS LON,43.708,-70.159,2022-06-17,2022-06-23,13,21,35,32,2,10,20,50
PSP10.02,2022-06-13,Great Cove Marina,43.09612,-70.76781,2022-06-17,2022-06-23,11,25,35,28,2,4,22,34
PSP10.145,2022-06-13,Webhannet River,43.320514,-70.564503,2022-06-17,2022-06-23,12,32,37,19,2,5,12,27
PSP27.46,2022-06-12,Gleason Cove,44.97084,-67.05254,2022-06-16,2022-06-22,18,32,32,18,1,3,14,25
PSP10.2,2022-06-13,Cape Porpoise,43.36592,-70.43032,2022-06-17,2022-06-23,11,35,38,16,2,5,10,25
PSP11.115,2022-06-13,CAS BASK,43.73316,-70.16358,2022-06-17,2022-06-23,27,35,25,13,1,3,9,16
PSP10.25,2022-06-13,Biddeford Pool,43.44652,-70.35614,2022-06-17,2022-06-23,37,36,20,8,0,2,5,10
PSP12.28,2022-06-13,Bear Island,43.78556,-69.87415,2022-06-17,2022-06-23,41,35,17,6,0,2,2,10
PSP19.38,2022-06-13,Burntcoat Hbr.,44.14834,-68.44768,2022-06-17,2022-06-23,66,18,10,6,0,4,2,14
PSP10.29,2022-06-14,Pine Point,43.54459,-70.33231,2022-06-18,2022-06-24,41,37,16,6,0,2,4,9
PSP12.003,2022-06-12,Mitchell Field,43.778,-70.0167,2022-06-16,2022-06-22,44,34,16,5,0,1,5,6
PSP12.13,2022-06-12,Lumbos Hole,43.79553,-69.94557,2022-06-16,2022-06-22,39,46,13,3,1,1,1,4
PSP12.243,2022-06-12,Dingley Starboard,43.81194,-69.88472,2022-06-16,2022-06-22,65,23,9,3,0,1,2,6
PSP12.01,2022-06-12,Basin Pt.,43.73848,-70.04343,2022-06-16,2022-06-22,84,13,3,1,0,0,0,1
PSP12.03,2022-06-12,Potts Pt.,43.73064,-70.02556,2022-06-16,2022-06-22,85,11,3,1,0,0,0,1
PSP12.06,2022-06-12,Wills Gut,43.74995,-69.9883,2022-06-16,2022-06-22,73,22,5,1,0,0,1,1
PSP12.11,2022-06-12,Ewin Narrows,43.81755,-69.95353,2022-06-16,2022-06-22,82,14,3,1,0,0,0,1
PSP12.13b,2022-06-12,Long Reach (Brun),43.85228,-69.92467,2022-06-16,2022-06-22,77,18,4,1,0,0,0,1
PSP12.15,2022-06-12,Gurnet,43.85809,-69.91333,2022-06-16,2022-06-22,56,38,5,1,0,0,0,1
PSP13.03,2022-06-12,Pinkham Pt.,43.79416,-69.9289,2022-06-16,2022-06-22,67,27,5,1,0,1,1,2
PSP27.05,2022-06-12,Gove Pt.,44.90545,-67.05621,2022-06-16,2022-06-22,85,11,3,1,0,0,0,1
PSP12.3,2022-06-13,Sebasco,43.7637,-69.8616,2022-06-17,2022-06-23,81,13,4,1,0,0,0,2
PSP12.34,2022-06-13,Head Beach,43.71711,-69.84999,2022-06-17,2022-06-23,83,11,4,1,0,0,1,2
PSP19.12,2022-06-14,IAH Town Dock,44.0737,-68.64,2022-06-18,2022-06-24,84,11,4,1,0,0,0,1
PSP19.13,2022-06-14,Duck Hbr.,44.0293,-68.65308,2022-06-18,2022-06-24,77,16,5,1,0,0,1,2
PSP26.07,2022-06-12,Cutler Hbr.,44.65701,-67.20525,2022-06-16,2022-06-22,98,2,0,0,0,0,0,0
PSP26.15,2022-06-12,Lubec Channel,44.85891,-66.98028,2022-06-16,2022-06-22,95,5,1,0,0,0,0,0
PSP27.24,2022-06-12,Edmunds Ramp,44.85744,-67.14813,2022-06-16,2022-06-22,94,5,1,0,0,0,0,0
PSP12.002,2022-06-13,Sabino,43.857,-69.868,2022-06-17,2022-06-23,91,7,1,0,0,0,0,0
