location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP12.13,2022-05-29,Lumbos Hole,43.79553,-69.94557,2022-06-02,2022-06-08,0,3,24,72,3,8,62,89
PSP12.13b,2022-05-29,Long Reach (Brun),43.85228,-69.92467,2022-06-02,2022-06-08,2,18,36,45,3,7,33,57
PSP12.002,2022-05-30,Sabino,43.857,-69.868,2022-06-03,2022-06-09,3,15,37,45,3,11,22,59
PSP10.33,2022-05-31,Spurwink River,43.56632,-70.27305,2022-06-04,2022-06-10,9,21,44,27,2,6,20,35
PSP13.03,2022-05-29,Pinkham Pt.,43.79416,-69.9289,2022-06-02,2022-06-08,4,28,49,19,2,6,9,28
PSP11.111,2022-05-30,CAS LON,43.708,-70.159,2022-06-03,2022-06-09,20,27,36,17,2,5,12,29
PSP21.09,2022-05-30,Bass Hbr.,44.23824,-68.34792,2022-06-03,2022-06-09,24,30,28,17,1,3,13,23
PSP12.243,2022-05-29,Dingley Starboard,43.81194,-69.88472,2022-06-02,2022-06-08,27,32,27,14,1,4,7,22
PSP12.15,2022-05-30,Gurnet,43.85809,-69.91333,2022-06-03,2022-06-09,7,38,44,12,2,4,6,18
PSP10.145,2022-05-31,Webhannet River,43.320514,-70.564503,2022-06-04,2022-06-10,23,30,35,12,2,3,7,19
PSP10.11,2022-05-31,Ogunquit River,43.2503,-70.5954,2022-06-04,2022-06-10,32,28,29,11,0,4,7,21
PSP12.11,2022-05-29,Ewin Narrows,43.81755,-69.95353,2022-06-02,2022-06-08,19,37,34,10,1,2,6,13
PSP27.46,2022-05-29,Gleason Cove,44.97084,-67.05254,2022-06-02,2022-06-08,22,43,25,9,1,2,6,12
PSP12.06,2022-05-29,Wills Gut,43.74995,-69.9883,2022-06-02,2022-06-08,24,39,31,7,1,1,4,9
PSP12.01,2022-05-29,Basin Pt.,43.73848,-70.04343,2022-06-02,2022-06-08,46,32,17,5,0,1,4,8
PSP10.29,2022-05-31,Pine Point,43.54459,-70.33231,2022-06-04,2022-06-10,38,35,21,5,0,1,4,7
PSP12.3,2022-05-30,Sebasco,43.7637,-69.8616,2022-06-03,2022-06-09,50,31,15,4,0,2,2,7
PSP14.2,2022-06-01,Pratts Island,43.81457,-69.6815,2022-06-05,2022-06-11,57,26,13,4,0,1,3,5
PSP11.115,2022-05-30,CAS BASK,43.73316,-70.16358,2022-06-03,2022-06-09,55,32,10,3,0,2,1,6
PSP10.07,2022-05-31,York River,43.12727,-70.64426,2022-06-04,2022-06-10,62,23,11,3,0,1,2,5
PSP12.03,2022-05-29,Potts Pt.,43.73064,-70.02556,2022-06-02,2022-06-08,78,15,5,2,0,0,1,3
PSP11.117,2022-05-30,CAS CF3,43.7119,-70.18787,2022-06-03,2022-06-09,21,53,24,2,1,1,0,5
PSP12.34,2022-05-30,Head Beach,43.71711,-69.84999,2022-06-03,2022-06-09,74,18,6,2,0,1,1,3
PSP10.2,2022-05-31,Cape Porpoise,43.36592,-70.43032,2022-06-04,2022-06-10,57,30,10,2,0,1,1,5
PSP10.25,2022-05-31,Biddeford Pool,43.44652,-70.35614,2022-06-04,2022-06-10,67,22,9,2,0,0,2,3
PSP26.15,2022-05-29,Lubec Channel,44.85891,-66.98028,2022-06-02,2022-06-08,85,12,3,1,0,0,0,1
PSP27.05,2022-05-29,Gove Pt.,44.90545,-67.05621,2022-06-02,2022-06-08,84,12,3,1,0,0,0,1
PSP16.41,2022-05-30,Port Clyde,43.92526,-69.259,2022-06-03,2022-06-09,86,10,3,1,0,0,1,1
PSP12.003,2022-05-29,Mitchell Field,43.778,-70.0167,2022-06-02,2022-06-08,98,2,0,0,0,0,0,0
PSP26.07,2022-05-29,Cutler Hbr.,44.65701,-67.20525,2022-06-02,2022-06-08,98,2,0,0,0,0,0,0
PSP16.4,2022-05-30,Howard Pt.,43.94755,-69.27711,2022-06-03,2022-06-09,98,2,0,0,0,0,0,0
PSP19.15,2022-05-30,Stonington,44.15419,-68.65947,2022-06-03,2022-06-09,90,9,1,0,0,0,0,1
PSP19.24,2022-05-30,Stinson Neck Causeway N.,44.21074,-68.59489,2022-06-03,2022-06-09,98,2,0,0,0,0,0,0
PSP10.02,2022-05-31,Great Cove Marina,43.09612,-70.76781,2022-06-04,2022-06-10,91,8,1,0,0,0,0,0
