location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP27.46,2022-07-17,Gleason Cove,44.97084,-67.05254,2022-07-21,2022-07-27,8,25,38,29,2,4,24,37
PSP26.15,2022-07-17,Lubec Channel,44.85891,-66.98028,2022-07-21,2022-07-27,14,31,35,20,2,3,14,26
PSP22.01,2022-07-18,Bar Hbr. Bar,44.39342,-68.20833,2022-07-22,2022-07-28,10,36,40,14,2,4,9,23
PSP10.25,2022-07-18,Biddeford Pool,43.44652,-70.35614,2022-07-22,2022-07-28,21,36,30,13,1,2,10,16
PSP10.145,2022-07-18,Webhannet River,43.320514,-70.564503,2022-07-22,2022-07-28,14,46,30,9,1,3,6,16
PSP27.05,2022-07-17,Gove Pt.,44.90545,-67.05621,2022-07-21,2022-07-27,48,34,14,4,0,2,1,7
PSP10.07,2022-07-18,York River,43.12727,-70.64426,2022-07-22,2022-07-28,16,54,27,4,1,1,2,5
PSP27.24,2022-07-17,Edmunds Ramp,44.85744,-67.14813,2022-07-21,2022-07-27,61,27,9,2,0,1,1,4
PSP10.11,2022-07-18,Ogunquit River,43.2503,-70.5954,2022-07-22,2022-07-28,18,59,21,2,1,1,1,3
PSP10.2,2022-07-18,Cape Porpoise,43.36592,-70.43032,2022-07-22,2022-07-28,15,65,18,2,1,1,1,2
PSP10.29,2022-07-17,Pine Point,43.54459,-70.33231,2022-07-21,2022-07-27,85,12,2,1,0,0,0,1
PSP10.33,2022-07-17,Spurwink River,43.56632,-70.27305,2022-07-21,2022-07-27,72,23,4,1,0,0,0,1
PSP11.1,2022-07-17,Littlejohns Bridge,43.75511,-70.1354,2022-07-21,2022-07-27,98,2,0,0,0,0,0,0
PSP11.17,2022-07-17,Flying Pt,43.8097,-70.06895,2022-07-21,2022-07-27,98,2,0,0,0,0,0,0
PSP12.004,2022-07-17,Lookout Pt.,43.80816,-69.99323,2022-07-21,2022-07-27,98,2,0,0,0,0,0,0
PSP12.01,2022-07-17,Basin Pt.,43.73848,-70.04343,2022-07-21,2022-07-27,97,3,0,0,0,0,0,0
PSP12.03,2022-07-17,Potts Pt.,43.73064,-70.02556,2022-07-21,2022-07-27,94,6,1,0,0,0,0,0
PSP12.06,2022-07-17,Wills Gut,43.74995,-69.9883,2022-07-21,2022-07-27,95,5,0,0,0,0,0,0
