location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP10.02,2022-07-25,Great Cove Marina,43.09612,-70.76781,2022-07-29,2022-08-04,11,25,38,27,2,4,21,32
PSP27.46,2022-07-25,Gleason Cove,44.97084,-67.05254,2022-07-29,2022-08-04,7,22,44,27,2,5,19,33
PSP10.145,2022-07-25,Webhannet River,43.320514,-70.564503,2022-07-29,2022-08-04,20,37,32,11,1,2,6,14
PSP10.07,2022-07-25,York River,43.12727,-70.64426,2022-07-29,2022-08-04,12,44,36,8,1,3,5,16
PSP26.15,2022-07-27,Lubec Channel,44.85891,-66.98028,2022-07-31,2022-08-06,44,33,17,6,0,1,4,8
PSP10.11,2022-07-25,Ogunquit River,43.2503,-70.5954,2022-07-29,2022-08-04,21,48,26,4,1,1,2,7
PSP27.05,2022-07-27,Gove Pt.,44.90545,-67.05621,2022-07-31,2022-08-06,57,26,12,4,0,2,3,8
PSP10.25,2022-07-25,Biddeford Pool,43.44652,-70.35614,2022-07-29,2022-08-04,72,19,7,2,0,0,2,3
PSP22.01,2022-07-26,Bar Hbr. Bar,44.39342,-68.20833,2022-07-30,2022-08-05,80,14,4,2,0,1,1,2
PSP27.24,2022-07-25,Edmunds Ramp,44.85744,-67.14813,2022-07-29,2022-08-04,92,6,2,1,0,0,0,1
PSP21.09,2022-07-26,Bass Hbr.,44.23824,-68.34792,2022-07-30,2022-08-05,83,13,4,1,0,0,0,2
PSP14.21,2022-07-24,Newagen,43.78639,-69.65778,2022-07-28,2022-08-03,97,3,0,0,0,0,0,0
PSP15.25,2022-07-24,Christmas Cove Town Landing,43.84476,-69.55365,2022-07-28,2022-08-03,96,4,0,0,0,0,0,0
PSP12.01,2022-07-25,Basin Pt.,43.73848,-70.04343,2022-07-29,2022-08-04,97,3,0,0,0,0,0,0
PSP12.03,2022-07-25,Potts Pt.,43.73064,-70.02556,2022-07-29,2022-08-04,96,3,0,0,0,0,0,0
PSP12.13,2022-07-25,Lumbos Hole,43.79553,-69.94557,2022-07-29,2022-08-04,95,4,0,0,0,0,0,0
PSP10.29,2022-07-26,Pine Point,43.54459,-70.33231,2022-07-30,2022-08-05,93,6,1,0,0,0,0,0
PSP10.33,2022-07-26,Spurwink River,43.56632,-70.27305,2022-07-30,2022-08-05,87,10,2,0,0,0,0,1
PSP11.17,2022-07-26,Flying Pt,43.8097,-70.06895,2022-07-30,2022-08-05,98,2,0,0,0,0,0,0
PSP12.28,2022-07-26,Bear Island,43.78556,-69.87415,2022-07-30,2022-08-05,97,3,0,0,0,0,0,0
PSP12.34,2022-07-26,Head Beach,43.71711,-69.84999,2022-07-30,2022-08-05,96,4,0,0,0,0,0,0
PSP16.41,2022-07-26,Port Clyde,43.92526,-69.259,2022-07-30,2022-08-05,97,3,0,0,0,0,0,0
PSP19.12,2022-07-26,IAH Town Dock,44.0737,-68.64,2022-07-30,2022-08-05,96,4,0,0,0,0,0,0
PSP19.13,2022-07-26,Duck Hbr.,44.0293,-68.65308,2022-07-30,2022-08-05,91,7,2,0,0,0,0,1
PSP19.15,2022-07-26,Stonington,44.15419,-68.65947,2022-07-30,2022-08-05,98,2,0,0,0,0,0,0
PSP22.03,2022-07-26,Salisbury Cove,44.43248,-68.28517,2022-07-30,2022-08-05,97,3,0,0,0,0,0,0
PSP24.08,2022-07-26,Ripley Pt.,44.52198,-67.79233,2022-07-30,2022-08-05,98,2,0,0,0,0,0,0
PSP25.06,2022-07-26,Kelley Pt.,44.53205,-67.5655,2022-07-30,2022-08-05,98,2,0,0,0,0,0,0
PSP22.1,2022-07-27,Lamoine State Park,44.45356,-68.27976,2022-07-31,2022-08-06,96,4,0,0,0,0,0,0
PSP22.21,2022-07-27,Sorrento Harbor (Waukeag),44.47156,-68.18404,2022-07-31,2022-08-06,94,5,1,0,0,0,0,0
PSP23.07,2022-07-27,Corea Hbr.,44.39319,-67.97628,2022-07-31,2022-08-06,98,2,0,0,0,0,0,0
PSP26.07,2022-07-27,Cutler Hbr.,44.65701,-67.20525,2022-07-31,2022-08-06,94,5,1,0,0,0,0,0
