location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP21.09,2022-08-22,Bass Hbr.,44.23824,-68.34792,2022-08-26,2022-09-01,99,1,0,0,0,0,0,0
PSP19.12,2022-08-23,IAH Town Dock,44.0737,-68.64,2022-08-27,2022-09-02,97,3,0,0,0,0,0,0
PSP19.13,2022-08-23,Duck Hbr.,44.0293,-68.65308,2022-08-27,2022-09-02,97,3,0,0,0,0,0,0
PSP19.15,2022-08-23,Stonington,44.15419,-68.65947,2022-08-27,2022-09-02,99,1,0,0,0,0,0,0
PSP26.07,2022-08-23,Cutler Hbr.,44.65701,-67.20525,2022-08-27,2022-09-02,99,1,0,0,0,0,0,0
PSP27.46,2022-08-23,Gleason Cove,44.97084,-67.05254,2022-08-27,2022-09-02,98,2,0,0,0,0,0,0
PSP22.03,2022-08-24,Salisbury Cove,44.43248,-68.28517,2022-08-28,2022-09-03,99,1,0,0,0,0,0,0
PSP23.07,2022-08-24,Corea Hbr.,44.39319,-67.97628,2022-08-28,2022-09-03,99,1,0,0,0,0,0,0
